PowerShell quicksort algoritmus
cisla od 1000 do -1000 pocet cisel = 100
puvodni  setridene
1   886   -990
2   672   -990
3   -688   -988
4   -70   -980
5   -155   -956
6   459   -900
7   -900   -892
8   -980   -886
9   726   -863
10   -423   -841
11   -283   -821
12   718   -770
13   268   -751
14   655   -738
15   396   -697
16   410   -695
17   153   -688
18   -446   -657
19   -331   -586
20   154   -552
21   3   -546
22   -517   -517
23   -302   -515
24   685   -512
25   -863   -511
26   -83   -492
27   -988   -490
28   -546   -464
29   -770   -455
30   718   -446
31   837   -423
32   583   -415
33   112   -399
34   -179   -368
35   794   -331
36   -956   -328
37   555   -312
38   991   -302
39   -190   -283
40   741   -252
41   250   -190
42   -252   -179
43   968   -170
44   -738   -155
45   -751   -155
46   -59   -146
47   -490   -83
48   483   -82
49   -695   -70
50   -312   -59
51   371   -31
52   578   3
53   742   50
54   468   52
55   -464   112
56   911   153
57   -170   154
58   -515   195
59   -892   250
60   -511   268
61   916   276
62   -697   371
63   642   371
64   451   396
65   402   402
66   -328   410
67   -841   443
68   -31   451
69   -657   457
70   -886   459
71   968   468
72   443   470
73   -552   478
74   50   483
75   -82   537
76   574   555
77   -146   574
78   -512   578
79   52   583
80   276   611
81   195   642
82   611   655
83   897   656
84   457   672
85   -368   685
86   -492   718
87   656   718
88   -455   726
89   470   737
90   -415   741
91   -399   742
92   -155   794
93   -990   837
94   -821   886
95   737   897
96   -990   911
97   371   916
98   478   968
99   537   968
100   -586   991
